Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Markelle Fultz,PG,25,ORL,43,910,4,150,23,120,42,15,65,335
Andrew Funk,SG,24,CHI,5,13,0,0,0,0,1,1,0,0
Wenyen Gabriel,PF,26,MEM,5,81,1,7,0,3,2,2,10,17
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Daniel Gafford,C-PF,25,TOT,74,1815,0,348,118,115,65,153,227,814
Daniel Gafford,C,25,WAS,45,1192,0,203,84,69,44,97,147,490
Daniel Gafford,PF,25,DAL,29,623,0,145,34,46,21,56,80,324
Danilo Gallinari,PF-SF,35,TOT,49,630,30,53,84,55,14,6,50,280
Danilo Gallinari,PF,35,WAS,26,385,20,37,47,31,6,3,26,181
Danilo Gallinari,SF,35,DET,6,90,7,5,21,12,2,2,9,52
Danilo Gallinari,SF,35,MIL,17,155,3,11,16,12,6,1,15,47
Darius Garland,PG,24,CLE,57,1901,132,243,146,373,74,7,95,1028
Usman Garuba,PF,21,GSW,6,18,0,1,1,1,1,3,2,3
Luka Garza,C,25,MIN,25,122,9,27,18,4,4,1,24,99
Kaiser Gates,SF,27,NOP,1,7,0,0,0,0,0,0,0,0
Keyonte George,PG,20,UTA,75,2023,147,172,189,332,36,7,91,974
Paul George,PF,33,LAC,74,2502,243,339,264,262,113,37,202,1671
Taj Gibson,PF,38,TOT,20,204,2,13,2,11,3,7,31,34
Taj Gibson,PF,38,NYK,16,165,0,7,2,9,2,6,28,16
Taj Gibson,PF,38,DET,4,39,2,6,0,2,1,1,3,18
Josh Giddey,SG,21,OKC,80,2011,82,320,100,386,51,44,111,986
Harry Giles,C,25,TOT,23,100,3,20,7,6,2,3,15,56
Harry Giles,C,25,BRK,16,81,3,19,7,6,1,3,15,54
Harry Giles,C,25,LAL,7,19,0,1,0,0,1,0,0,2
Shai Gilgeous-Alexander,PG,25,OKC,75,2553,95,701,567,465,150,67,184,2254
Anthony Gill,PF,31,WAS,50,466,10,65,29,34,13,11,48,189
Collin Gillespie,PG,24,DEN,24,225,15,17,8,27,13,0,24,87
Jacob Gilyard,PG,25,TOT,41,699,51,9,2,137,33,5,39,173
Jacob Gilyard,PG,25,MEM,37,654,51,9,2,131,27,5,35,173
Jacob Gilyard,PG,25,BRK,4,45,0,0,0,6,6,0,4,0
Rudy Gobert,C,31,MIN,76,2593,0,406,249,102,52,162,238,1061
Jordan Goodwin,PG,25,TOT,57,1055,42,99,44,155,48,18,76,368
Jordan Goodwin,PG,25,PHO,40,558,23,52,25,78,23,9,43,198
Jordan Goodwin,PG,25,MEM,17,497,19,47,19,77,25,9,33,170
Aaron Gordon,PF,28,DEN,73,2297,40,358,177,259,56,45,142,1013
Eric Gordon,SG,35,PHO,68,1893,150,124,51,139,66,30,79,749
Devonte' Graham,PG,28,SAS,23,313,25,13,13,49,9,2,14,114
Player,Pos,Age,Tm,G,MP,3P,2P,FT,AST,STL,BLK,PF,PTS
Jerami Grant,PF,29,POR,54,1830,111,272,255,152,45,34,117,1132
RaiQuan Gray,PF,24,SAS,3,39,3,7,0,6,1,1,0,23
A.J. Green,SG,24,MIL,56,614,69,14,17,30,9,4,49,252
Danny Green,SG,36,PHI,2,18,0,0,0,1,1,0,1,0
Draymond Green,PF,33,GSW,55,1490,51,134,54,332,55,47,166,475
Jalen Green,SG,21,HOU,82,2601,201,362,283,291,66,28,115,1610
Javonte Green,SF,30,CHI,9,230,10,35,10,5,10,8,19,110
Jeff Green,PF,37,HOU,78,1307,53,114,122,70,16,31,100,509
Josh Green,SG,23,DAL,57,1505,72,107,39,130,47,9,107,469
AJ Griffin,SF,20,ATL,20,171,10,8,2,5,1,2,6,48
Quentin Grimes,SG,23,TOT,51,1025,81,41,34,66,35,7,75,359
Quentin Grimes,SG,23,NYK,45,910,77,36,24,52,30,3,66,327
Quentin Grimes,SG,23,DET,6,115,4,5,10,14,5,4,9,32
Mouhamadou Gueye,PF,25,TOR,11,120,0,11,4,5,3,18,15,26
Mouhamed Gueye,PF,21,ATL,6,73,3,5,5,4,5,4,13,24
Rui Hachimura,PF,25,LAL,68,1826,98,265,99,81,41,25,101,923
Ashton Hagans,PG,24,POR,19,316,8,21,14,54,11,9,40,80
Tyrese Haliburton,PG,23,IND,69,2224,195,305,194,752,83,48,75,1389
R.J. Hampton,PG,22,MIA,8,76,1,3,1,8,0,0,8,10
Tim Hardaway Jr.,SF,31,DAL,79,2120,211,181,144,139,42,6,106,1139
James Harden,PG,34,LAC,72,2470,186,166,302,614,77,57,127,1192
Jaden Hardy,SG,21,DAL,73,989,81,114,59,109,22,4,80,530
